"","fips","year","state_initial.x","county_name","party","candidatevotes"
"9",1001,2020,"AL","AUTAUGA","DEMOCRAT",7503
"12",1001,2020,"AL","AUTAUGA","REPUBLICAN",19838
"30",1003,2020,"AL","BALDWIN","DEMOCRAT",24578
"33",1003,2020,"AL","BALDWIN","REPUBLICAN",83544
"52",1005,2020,"AL","BARBOUR","DEMOCRAT",4816
"55",1005,2020,"AL","BARBOUR","REPUBLICAN",5622
"67",1007,2020,"AL","BIBB","DEMOCRAT",1986
"68",1007,2020,"AL","BIBB","REPUBLICAN",7525
"86",1009,2020,"AL","BLOUNT","DEMOCRAT",2640
"88",1009,2020,"AL","BLOUNT","REPUBLICAN",24711
"96",1011,2020,"AL","BULLOCK","REPUBLICAN",1146
"113",1011,2020,"AL","BULLOCK","DEMOCRAT",3446
"118",1013,2020,"AL","BUTLER","DEMOCRAT",3965
"131",1013,2020,"AL","BUTLER","REPUBLICAN",5458
"148",1015,2020,"AL","CALHOUN","REPUBLICAN",35101
"149",1015,2020,"AL","CALHOUN","DEMOCRAT",15216
"158",1017,2020,"AL","CHAMBERS","DEMOCRAT",6365
"162",1017,2020,"AL","CHAMBERS","REPUBLICAN",8753
"185",1019,2020,"AL","CHEROKEE","DEMOCRAT",1624
"188",1019,2020,"AL","CHEROKEE","REPUBLICAN",10583
"206",1021,2020,"AL","CHILTON","REPUBLICAN",16085
"207",1021,2020,"AL","CHILTON","DEMOCRAT",3073
"216",1023,2020,"AL","CHOCTAW","DEMOCRAT",3127
"223",1023,2020,"AL","CHOCTAW","REPUBLICAN",4296
"231",1025,2020,"AL","CLARKE","DEMOCRAT",5755
"236",1025,2020,"AL","CLARKE","REPUBLICAN",7324
"249",1027,2020,"AL","CLAY","REPUBLICAN",5601
"253",1027,2020,"AL","CLAY","DEMOCRAT",1267
"273",1029,2020,"AL","CLEBURNE","DEMOCRAT",675
"282",1029,2020,"AL","CLEBURNE","REPUBLICAN",6484
"299",1031,2020,"AL","COFFEE","REPUBLICAN",16899
"304",1031,2020,"AL","COFFEE","DEMOCRAT",5076
"320",1033,2020,"AL","COLBERT","DEMOCRAT",8343
"323",1033,2020,"AL","COLBERT","REPUBLICAN",19203
"339",1035,2020,"AL","CONECUH","DEMOCRAT",2966
"341",1035,2020,"AL","CONECUH","REPUBLICAN",3442
"348",1037,2020,"AL","COOSA","REPUBLICAN",3631
"360",1037,2020,"AL","COOSA","DEMOCRAT",1796
"362",1039,2020,"AL","COVINGTON","REPUBLICAN",14586
"373",1039,2020,"AL","COVINGTON","DEMOCRAT",2721
"383",1041,2020,"AL","CRENSHAW","DEMOCRAT",1700
"385",1041,2020,"AL","CRENSHAW","REPUBLICAN",4864
"407",1043,2020,"AL","CULLMAN","REPUBLICAN",36880
"409",1043,2020,"AL","CULLMAN","DEMOCRAT",4478
"428",1045,2020,"AL","DALE","DEMOCRAT",5170
"433",1045,2020,"AL","DALE","REPUBLICAN",14303
